Date,Open,High,Low,Close,Adj Close,Volume
2014-09-25,92.800003,93.000000,91.550003,91.900002,83.296532,4972100
2014-09-26,92.290001,93.000000,91.800003,92.839996,84.148537,4571400
2014-09-29,92.370003,93.169998,91.949997,92.879997,84.184792,3894600
2014-09-30,93.029999,93.209999,91.400002,91.739998,83.151512,6773000
2014-10-01,92.139999,92.339996,90.919998,91.019997,82.498901,5970700
2014-10-02,91.309998,92.459999,91.070000,92.239998,83.604721,5991200
2014-10-03,92.519997,93.680000,92.339996,93.540001,84.783005,6200100
2014-10-06,93.720001,94.250000,93.059998,93.260002,84.529228,4951700
2014-10-07,93.040001,93.559998,92.440002,92.470001,83.813171,5030300
2014-10-08,92.570000,94.160004,92.239998,94.089996,85.281509,6618900
2014-10-09,93.910004,94.790001,93.019997,93.070000,84.357010,6674700
2014-10-10,93.230003,93.860001,92.540001,92.550003,83.885681,6349800
2014-10-13,92.879997,92.940002,90.430000,90.599998,82.118248,7372200
2014-10-14,90.370003,90.529999,88.519997,90.099998,81.665054,9711300
2014-10-15,88.089996,89.169998,86.620003,87.849998,79.625687,12987500
2014-10-16,86.349998,89.720001,86.349998,88.879997,80.559265,7147600
2014-10-17,89.300003,91.120003,89.050003,90.239998,81.791924,7007300
2014-10-20,89.870003,92.070000,89.769997,91.849998,83.251213,5609400
2014-10-21,92.529999,94.370003,92.120003,94.199997,85.381210,6604700
2014-10-22,94.300003,94.989998,93.239998,93.339996,84.601723,5908900
2014-10-23,94.500000,95.519997,94.440002,94.800003,85.925049,5923100
2014-10-24,94.599998,95.190002,94.129997,94.989998,86.097260,4825200
2014-10-27,94.959999,95.680000,94.709999,95.470001,86.532326,4465100
2014-10-28,95.910004,96.599998,95.500000,96.589996,87.547470,5260100
2014-10-29,96.620003,97.250000,95.800003,96.419998,87.393379,4275400
2014-10-30,96.120003,97.800003,96.029999,97.519997,88.390411,4115800
2014-10-31,98.779999,99.260002,97.330002,97.519997,88.390411,6335900
2014-11-03,96.809998,96.830002,95.980003,96.089996,87.094276,7614200
2014-11-04,96.059998,96.180000,95.190002,95.959999,86.976440,5349600
2014-11-05,96.589996,96.849998,95.150002,95.779999,86.813309,5002700
2014-11-06,96.349998,97.510002,96.010002,97.290001,88.181931,4016900
2014-11-07,97.169998,97.750000,96.690002,97.650002,88.508224,3429600
2014-11-10,97.639999,98.169998,97.000000,98.160004,88.970505,3662300
2014-11-11,98.459999,98.750000,97.879997,98.139999,88.952347,3818400
2014-11-12,98.300003,98.699997,97.610001,98.489998,89.269600,4629400
2014-11-13,98.900002,99.360001,98.339996,99.000000,89.731850,3182800
2014-11-14,98.900002,99.000000,98.019997,98.239998,89.043022,4085500
2014-11-17,98.169998,98.949997,97.800003,98.029999,88.852654,8581600
2014-11-18,97.150002,97.709999,95.980003,95.980003,86.994591,10384400
2014-11-19,96.550003,97.309998,96.000000,96.699997,87.647171,6831100
2014-11-20,96.080002,97.970001,96.019997,97.570000,88.435715,4958800
2014-11-21,98.980003,99.099998,97.820000,98.279999,89.079247,6806800
2014-11-24,98.680000,98.900002,98.220001,98.400002,89.188019,5043600
2014-11-25,98.639999,98.870003,96.410004,97.010002,87.928154,7992000
2014-11-26,97.059998,97.709999,97.010002,97.699997,88.553566,4337900
2014-11-28,98.059998,99.800003,98.000000,99.400002,90.094406,3305800
2014-12-01,99.489998,99.610001,98.309998,98.879997,89.623070,4393700
2014-12-02,98.620003,99.000000,97.989998,98.160004,89.395401,4677700
2014-12-03,98.099998,98.739998,98.040001,98.589996,89.787018,4357200
2014-12-04,98.150002,99.110001,97.779999,98.949997,90.114868,5220000
2014-12-05,98.769997,99.680000,98.660004,99.639999,90.743263,4649100
2014-12-08,99.709999,100.949997,99.660004,100.430000,91.462723,6624300
2014-12-09,99.690002,99.980003,98.589996,99.639999,90.743263,5280500
2014-12-10,99.360001,100.230003,98.820000,98.940002,90.105782,5357000
2014-12-11,99.279999,101.400002,99.150002,100.269997,91.317001,6864000
2014-12-12,99.690002,101.250000,99.389999,99.779999,90.870758,5983300
2014-12-15,100.010002,101.239998,99.290001,100.050003,91.116646,5488300
2014-12-16,99.379997,100.230003,96.989998,97.059998,88.393631,7829300
2014-12-17,97.589996,99.139999,97.089996,98.940002,90.105782,6096400
2014-12-18,100.339996,100.690002,99.300003,100.669998,91.681290,6594000
2014-12-19,100.919998,102.000000,100.809998,101.930000,92.828781,12500600
2014-12-22,102.250000,103.570000,102.230003,103.500000,94.258606,5418900
2014-12-23,103.660004,104.199997,103.320000,103.760002,94.495392,4067700
2014-12-24,104.050003,104.379997,103.559998,103.559998,94.313240,1819000
2014-12-26,103.980003,104.320000,103.480003,103.750000,94.486275,2594900
2014-12-29,103.580002,104.800003,103.260002,104.529999,95.196632,3492700
2014-12-30,104.440002,104.739998,103.849998,104.269997,94.959854,2927800
2014-12-31,104.750000,106.019997,104.559998,104.970001,95.597351,5821600
2015-01-02,105.160004,105.660004,102.669998,103.430000,94.194855,4323700
2015-01-05,102.779999,102.779999,100.790001,101.260002,92.218628,5878100
2015-01-06,102.070000,102.070000,100.339996,100.949997,91.936302,4910100
2015-01-07,102.290001,104.470001,102.000000,104.410004,95.087357,5091000
2015-01-08,105.370003,106.989998,105.019997,106.720001,97.191093,6464600
2015-01-09,106.879997,106.879997,104.820000,104.889999,95.524490,5717100
2015-01-12,105.169998,105.290001,104.059998,104.419998,95.096451,4990400
2015-01-13,105.410004,106.040001,103.150002,103.730003,94.468063,5395200
2015-01-14,102.419998,103.410004,101.879997,102.639999,93.475388,5384400
2015-01-15,103.320000,103.650002,100.820000,101.010002,91.990936,6895000
2015-01-16,100.860001,104.309998,100.239998,104.120003,94.823257,6403800
2015-01-20,104.839996,104.949997,102.349998,103.250000,94.030937,5331300
2015-01-21,103.050003,104.059998,102.500000,103.529999,94.285934,5899200
2015-01-22,104.379997,106.309998,103.540001,106.070000,96.599121,5804100
2015-01-23,106.209999,106.480003,105.309998,105.370003,95.961632,4072300
2015-01-26,105.360001,106.500000,105.059998,106.360001,96.863235,4189700
2015-01-27,104.779999,105.809998,104.400002,105.160004,95.770386,4606500
2015-01-28,105.309998,107.430000,104.599998,104.739998,95.387878,4917300
2015-01-29,105.139999,107.739998,104.510002,107.620003,98.010742,6529300
2015-01-30,106.360001,106.860001,104.379997,104.419998,95.096451,7000000
2015-02-02,104.779999,105.000000,101.570000,104.430000,95.105568,5012800
2015-02-03,104.889999,107.320000,104.809998,107.239998,97.664665,5969200
2015-02-04,107.089996,109.000000,106.750000,108.410004,98.730194,6765200
2015-02-05,108.980003,109.339996,108.150002,108.989998,99.258408,4471800
2015-02-06,109.279999,109.739998,108.459999,109.040001,99.303947,4178800
2015-02-09,108.879997,109.459999,108.040001,108.339996,98.666451,4243800
2015-02-10,108.790001,110.849998,108.660004,110.669998,100.788406,5414400
2015-02-11,110.599998,110.800003,109.809998,110.309998,100.460541,4552900
2015-02-12,110.809998,112.199997,110.209999,112.160004,102.145370,4592200
2015-02-13,112.010002,112.389999,111.300003,111.889999,101.899467,5098600
2015-02-17,111.690002,112.230003,110.620003,112.000000,101.999649,6028600
2015-02-18,111.599998,112.169998,111.000000,111.989998,101.990532,3726500
2015-02-19,112.010002,112.449997,110.639999,110.940002,101.034302,5910600
2015-02-20,110.809998,112.250000,110.050003,112.239998,102.218231,7276100
2015-02-23,112.989998,113.160004,111.800003,112.279999,102.254646,5638000
2015-02-24,117.500000,117.919998,115.129997,116.750000,106.325531,12766600
2015-02-25,117.349998,117.349998,115.849998,116.309998,105.924835,7328200
2015-02-26,116.000000,116.419998,115.199997,115.379997,105.077858,5649900
2015-02-27,115.190002,115.669998,114.559998,114.750000,104.504105,5732600
2015-03-02,114.860001,117.059998,114.860001,116.120003,105.751785,5971900
2015-03-03,116.110001,116.120003,114.800003,116.070000,105.706230,3784800
2015-03-04,115.389999,115.470001,114.250000,114.760002,104.513214,3797000
2015-03-05,115.230003,116.099998,115.059998,115.910004,105.560539,4088700
2015-03-06,115.959999,115.959999,114.000000,114.449997,104.230896,5169200
2015-03-09,114.379997,115.480003,114.370003,115.250000,104.959457,5351200
2015-03-10,113.849998,114.339996,112.559998,112.559998,103.037125,5670600
2015-03-11,112.680000,113.800003,112.410004,113.070000,103.503975,4356500
2015-03-12,113.849998,116.459999,113.769997,116.099998,106.277634,5742000
2015-03-13,115.989998,116.309998,114.000000,114.820000,105.105919,4626900
2015-03-16,115.330002,116.610001,115.320000,116.500000,106.643799,4820300
2015-03-17,115.449997,116.080002,115.139999,115.580002,105.801636,3714600
2015-03-18,115.410004,116.419998,113.309998,116.080002,106.259323,4771300
2015-03-19,116.209999,116.430000,115.070000,115.160004,105.417152,3545600
2015-03-20,115.550003,117.989998,115.330002,117.489998,107.550049,8446000
2015-03-23,117.040001,117.750000,116.070000,116.070000,106.250160,4084900
2015-03-24,116.199997,117.830002,116.040001,116.150002,106.323402,4026900
2015-03-25,115.959999,116.610001,113.639999,113.680000,104.062363,4725800
2015-03-26,113.360001,113.430000,111.580002,112.370003,102.863213,5409600
2015-03-27,112.080002,114.230003,112.000000,113.860001,104.227150,3867500
2015-03-30,114.959999,116.050003,114.529999,114.629997,104.931992,3968400
2015-03-31,113.699997,115.370003,113.550003,113.610001,103.998283,4128800
2015-04-01,113.879997,114.000000,112.430000,113.129997,103.558899,4733600
2015-04-02,112.610001,114.919998,112.519997,114.540001,104.849602,4064800
2015-04-06,113.449997,115.550003,113.410004,114.949997,105.224922,3248900
2015-04-07,114.830002,115.790001,114.230003,114.300003,104.629929,3188300
2015-04-08,113.970001,115.809998,113.830002,115.589996,105.810776,3753500
2015-04-09,115.459999,116.250000,114.139999,114.570000,104.877083,4674000
2015-04-10,114.470001,115.650002,114.419998,115.239998,105.490402,3658100
2015-04-13,114.959999,115.430000,114.349998,114.440002,104.758095,2982000
2015-04-14,114.199997,114.980003,113.110001,114.050003,104.401062,3988200
2015-04-15,114.580002,115.209999,113.379997,113.449997,103.851822,4210800
2015-04-16,113.339996,113.989998,113.019997,113.370003,103.778618,4013000
2015-04-17,112.910004,113.110001,111.769997,112.099998,102.616043,6245200
2015-04-20,113.000000,113.690002,112.680000,112.860001,103.311752,4396300
2015-04-21,113.500000,113.980003,112.500000,113.169998,103.595512,3899500
2015-04-22,113.199997,113.309998,112.190002,112.989998,103.430740,4065500
2015-04-23,112.739998,114.510002,112.559998,113.959999,104.318695,3945300
2015-04-24,113.879997,114.040001,112.900002,113.699997,104.080673,2878300
2015-04-27,114.050003,114.110001,111.279999,111.389999,101.966110,5618000
2015-04-28,110.900002,111.769997,110.050003,110.580002,101.224655,5743300
2015-04-29,110.169998,110.309998,108.070000,108.709999,99.512848,7238900
2015-04-30,108.559998,109.209999,106.620003,106.980003,97.929214,9041600
2015-05-01,106.980003,109.790001,106.849998,109.550003,100.281792,6696900
2015-05-04,109.940002,110.449997,109.320000,110.059998,100.748627,3366800
2015-05-05,109.199997,109.879997,107.980003,108.059998,98.917831,4164800
2015-05-06,108.199997,108.910004,107.239998,108.309998,99.146706,3996600
2015-05-07,108.400002,110.720001,108.250000,110.040001,100.730331,5400200
2015-05-08,112.400002,113.480003,112.110001,112.470001,102.954735,6435300
2015-05-11,112.239998,112.910004,111.809998,111.900002,102.432961,3725200
2015-05-12,111.120003,112.820000,110.830002,112.519997,103.000504,4053800
2015-05-13,112.919998,112.949997,111.099998,111.190002,101.783028,4340700
2015-05-14,112.050003,112.220001,110.830002,111.940002,102.469589,3815700
2015-05-15,111.919998,113.400002,111.820000,113.349998,103.760300,4575800
2015-05-18,113.870003,114.599998,113.160004,114.330002,104.657394,6836400
2015-05-19,116.120003,116.480003,112.339996,112.339996,102.835747,11133200
2015-05-20,112.190002,112.889999,111.220001,112.099998,102.616043,7004500
2015-05-21,111.980003,112.330002,111.620003,112.010002,102.533661,4238600
2015-05-22,111.870003,112.529999,111.459999,112.160004,102.670975,3694000
2015-05-26,112.000000,112.180000,110.690002,110.930000,101.545044,4612600
